,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIP Phase,Draft Date,"Voted 
Started","Vote 
Ended",Status,PDF sent to Foundation,Markdown sent to ATMTA,Step #,PIP,PIP Name,Amount,Type,"DAO ROI
What did it accomplish?",Ecosystem Fund?,"Vote 
Result","# of 
Votes","PVP 
Voted (M)","PVP 
Participation","Total 
PVP (M)",Yes,No,Abstain,Category,SAC Term,Note,Total Amount Paid (USDC),Total Amount Left (USDC),Total Amount Paid (ATLAS),Total Amount Left (ATLAS),Completed Milestones,Total Payment Milestones,,,,,
Voting,10/11/2025,11/5/2025,11/18/2025,Actionable,TRUE,TRUE,10,PIP-23,Refresh of PIP-4 the Ecosystem Fund,0,ATLAS,Clarified and improved upon Ecosystem Fund process and procedures,No,Passed,135,111,18%,623,77%,22%,1%,Governance,SAC-2,,,,N/A,,N/A,N/A,Avg Votes per PIP,243,158,137,
Voting,10/7/2025,11/9/2025,11/22/2025,Actionable,TRUE,TRUE,10,PIP-24,DAO-Supported Hosting Service,675,USDC,"Funded the SLY Assistant automation tool, which enabled players to run SLY accounts autonomously without user interaction. Improved accessibility and uptime for ## Star Atlas players.",YES,Passed,140,108,17%,629,59%,40%,1%,Ecosystem Fund,SAC-2,,,,?,?,3,3,Average PVP Votes,96,110,152,M
Voting,11/26/2025,11/26/2025,12/10/2025,Actionable,FALSE,TRUE,10,PIP-25,Council Election #3,0,USDC,"5 SAC-3 council members volunteered ~8+ hours per month, completing 20 accomplishments positively affecting the SA DAO ecosystem, paying out 1.2M+ ATLAS for PIP authors, facilitating voting process for 6 PIPs with 871 votes cast, achieving average voter participation rate of 23%, publishing 21 DAO transparency reports",No,Passed,176,112,17%,641,N/A,N/A,N/A,Governance,SAC-2,,,,N/A,,N/A,N/A,Avg PVP Participation,18%,19%,22%,
Voting,11/24/2025,1/23/2026,2/6/2026,Actionable,TRUE,TRUE,9a,PIP-26,Star Atlas Crew Adventure Series – Season Production,"13,143,639",ATLAS,N/A,YES,Failed,147,167,25%,661,30%,53%,17%,Ecosystem Fund,SAC-3,First PIP that had SAC-3 involvement,,,N/A,,N/A,N/A,,,,,
Voting,2/4/2025,2/20/2026,3/6/2026,Actionable,TRUE,TRUE,10,PIP-27,DAO Casters Election: Term 1,0,,See PIP-20 ROI,YES,Passed,128,147,22%,667,N/A,N/A,N/A,Governance,SAC-3,,,,N/A,,N/A,N/A,,,,,
Voting,2/2/2026,2/20/2026,3/6/2026,Actionable,TRUE,TRUE,10,PIP-28,"Temporary DAO Funding to Preserve Core Lore, Design, and Community Functions","30,000",USDC,"Retained key SA company member (Jose) from employee layoffs, supporting 7 critical components of the SA ecosystem.",No,Passed,145,143,21%,666,93%,6%,1%,DAO Treasury,SAC-3,,,,,,?,6,,,,,
Voting,1/28/2026,3/18/2026,4/1/2026,Actionable,TRUE,TRUE,10,PIP-29,PIP-29: Star Atlas Relay Program (Pilot),"13,143,639",ATLAS,Funded platform that showcases and rewards quality SA content created by community members. Incentivizes participation to enhance social media presence and engagement with web3 community.,YES,Passed,105,163,24%,669,96%,3%,1%,Ecosystem Fund,SAC-3,,,,"13,143,639.00",0,,,,,,,
Voting,2/17/2026,3/18/2026,4/1/2026,Actionable,TRUE,TRUE,10,PIP-30,PIP-30: ATOM Cloud Infrastructure Sustainability — DAO Funding Pilot,"13,143,639",ATLAS,"Funded widely used ATOM Cloud, made free for all users until C4. Processes ~100,000 transactions/day for 104 daily active accounts.",YES,Passed,205,183,27%,669,61%,38%,1%,Ecosystem Fund,SAC-3,,"1,650.00",,"6,433,164.00","6,710,475",,,,,,,
Withdrawn,11/3/2025,4/18/2026,5/2/2026,Actionable,TRUE,TRUE,10,PIP-31,PIP-31: Star Seekers Ecosystem Expansion,"13,000,000",ATLAS,"N/A. Passed, but withdrawn by PIP author.",YES,Passed,141,135,20%,670,40%,35%,25%,Ecosystem Fund,SAC-3,"PIP passed, but withdrawn by PIP Author, will not be implemented",,,,,,,,,,,
Voting,4/14/2026,5/26/2026,6/10/2026,Actionable,TRUE,TRUE,10,PIP-32,PIP-32: Igniting the Star Atlas Triad Tournament - A Super Phoenix Sports Live Esports Event,"13,576,392",ATLAS,"Production and broadcast of the Star Atlas Triad Tournament in June 2026, a first-ever combined competitive event spanning all three UE5 game modes: Racing Mode (Star Racer), Gun Mode (Star Shooter), Siege Mode (Star Fighter)",YES,Passed,118,119,17%,683,74%,11%,15%,Ecosystem Fund,SAC-3,,,,,,,,,,,,
Voting,6/17/2026,6/26/2026,7/11/2026,Actionable,TRUE,FALSE,10,PIP-33,PIP-33: ATMTA Historic Expense Reimbursement,"469,514",USDC,"Seeks reimbursement of $469,513.53 USD from the Star Atlas DAO Treasury for verified historic expenditures paid by ATMTA on behalf of the Star Atlas DAO covering 2021 tax obligations and payments to two professional services providers.",NO,,220,279,38%,693,61%,9%,30%,DAO Treasury,SAC-3,,,,,,,,,,,,
Voting,6/20/2026,7/18/2026,8/1/2026,Actionable,TRUE,TRUE,8,PIP-34,PIP-34: Star Atlas Crew Adventure Series – Season Production,"13,576,392",ATLAS,,YES,,27,31,4%,744,16%,80%,3%,Ecosystem Fund,SAC-3,,,,,,,,,,,,
Closed,11/3/2025,,,Actionable,FALSE,FALSE,4b,,Star Seekers Ecosystem Expansion,"13,000,000",ATLAS,,YES,,,,,,,,,,,,,,,,,,,,,,
Withdrawn,3/31/2025,,,Actionable,FALSE,FALSE,4b,,Establishing a Values List for the Star Atlas DAO,0,USDC,,No,,,,,,,,,,,,,,,,,,,,,,
Withdrawn,7/28/2025,,,Non-actionable,FALSE,FALSE,3,,The Infinite Star Atlas IP Universe,"600,000",USDC,,No,,,,,,,,,,,,,,,,,,,,,,
Withdrawn,2/11/2025,,,Actionable,FALSE,FALSE,4b,,DAO Working Groups,"6,000,000",ATLAS,,YES,,,,,,,,,,,,,,,,,,,,,,
Draft,11/29/2026,,,Actionable,FALSE,FALSE,4a,,Payment for Term-3 Star Atlas DAO Council,"10,000,000",ATLAS,,No,,,,,,,,,,,,,,,,,,,,,,
Draft,3/14/2026,,,Actionable,TRUE,TRUE,7,,Igniting the Star Atlas Triad Tournament - A Super Phoenix Sports Live Esports Event,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
